"","n","p","sd"
"609",7,11,0.987751621781335
"610",8,11,1.11359799861196
"611",9,11,1.20625463781752
"612",10,11,1.24196917722862
"613",11,11,1.27045079642253
"614",12,11,1.28379932369416
"615",13,11,1.59996859265657
"616",14,11,1.51368132570198
"617",15,11,1.71014560489736
"618",16,11,1.79137380256118
"619",17,11,1.79715017283437
"620",18,11,1.72733710298155
"621",19,11,1.63792214244866
"622",20,11,2.0161097421674
"623",21,11,2.00992512173336
"624",22,11,1.96214808962732
"625",23,11,2.1258814311472
"626",24,11,2.11574024490711
"627",25,11,2.18501060793396
"628",26,11,2.38225749107204
"629",27,11,2.3370298549042
"630",28,11,2.52146065190307
"631",29,11,2.38807758937274
"632",30,11,2.52142079274173
"633",31,11,2.32510874009504
"634",32,11,2.64753606891028
"635",33,11,2.53418338466964
"636",34,11,2.70599093395994
"637",35,11,2.78111000579294
"638",36,11,2.65837068020373
"639",37,11,2.70521550985755
"640",38,11,2.64196896272458
"641",39,11,2.58265863561964
"642",40,11,2.92955396471217
"643",41,11,3.0908521210454
"644",42,11,2.78132682266438
"645",43,11,2.88851042274588
"646",44,11,2.91485538398524
"647",45,11,3.05882034607261
"648",46,11,3.06905039902553
"649",47,11,3.18191734492739
"650",48,11,3.14023572395609
"651",49,11,3.12869279299915
"652",50,11,3.060819839594
"653",55,11,3.44920062110384
"654",60,11,3.50389589345357
"655",65,11,3.75074866898456
"656",70,11,3.75393930445173
"657",75,11,4.09612821230712
"658",80,11,3.76627456787248
"659",85,11,4.03258087863264
"660",90,11,4.46109930792578
"661",95,11,4.27825811076325
"662",100,11,4.6212068514425
"663",120,11,4.90195069365401
"664",140,11,5.31661848930352
"665",160,11,5.94489773210828
"666",180,11,5.78699807617631
"667",200,11,5.68747190616508
"668",300,11,7.23611822976766
"669",400,11,8.59147643520503
"670",500,11,9.82377257155765
"671",2,12,0.501029091723992
"672",3,12,0.62924937335634
"673",4,12,0.729682935205181
"674",5,12,0.852074028916366
"675",6,12,1.00949014445848
"676",7,12,1.06943605107397
"677",8,12,1.07963096244753
"678",9,12,1.30687205680752
"679",10,12,1.37339216182078
"680",11,12,1.43949146520289
"681",12,12,1.53351175132677
"682",13,12,1.56493453553256
"683",14,12,1.64294593848487
"684",15,12,1.66831995051502
"685",16,12,1.68707025050848
"686",17,12,2.0249449400046
"687",18,12,1.9741037022243
"688",19,12,1.92491597414996
"689",20,12,2.11992225134763
"690",21,12,2.02248665293656
"691",22,12,2.18468285935966
"692",23,12,2.12973681342845
"693",24,12,2.11897386752557
"694",25,12,2.17125464505395
"695",26,12,2.22347005724777
"696",27,12,2.0761326145422
"697",28,12,2.40081644404356
"698",29,12,2.29615693788928
"699",30,12,2.60242928644656
"700",31,12,2.32175639631273
"701",32,12,2.3609894868008
"702",33,12,2.44142947664831
"703",34,12,2.50727083402968
"704",35,12,2.63480759359699
"705",36,12,2.88983228808634
"706",37,12,2.90502510389693
"707",38,12,2.73998404426268
"708",39,12,2.80064152736906
"709",40,12,2.86968210380251
"710",41,12,2.95969151590951
"711",42,12,2.71372835929468
"712",43,12,2.84964954206001
"713",44,12,3.00269560637148
"714",45,12,3.04488614865835
"715",46,12,3.36296336778522
"716",47,12,3.14057575619535
"717",48,12,3.04754617494833
"718",49,12,2.84842811276111
"719",50,12,3.08219069778095
"720",55,12,3.35269710672575
"721",60,12,3.13033464263397
"722",65,12,4.00013818856776
"723",70,12,3.87658542700459
"724",75,12,4.06987955571046
"725",80,12,4.30873834557789
"726",85,12,4.30864504346236
"727",90,12,4.13337622228789
"728",95,12,4.61474314251149
"729",100,12,4.40282001910174
"730",120,12,5.28864337460171
"731",140,12,5.56319338177409
"732",160,12,5.67542307988386
"733",180,12,5.94848065564248
"734",200,12,6.22121512149674
"735",300,12,8.37649109204298
"736",400,12,9.1996818275766
"737",500,12,9.85978966617983
"738",2,13,0.495583509688707
"739",3,13,0.653075445632771
"740",4,13,0.714178024904352
"741",5,13,0.820834236750092
"742",6,13,1.07075092233836
"743",7,13,0.99642577325561
"744",8,13,1.0791654136182
"745",9,13,1.35156711573703
"746",10,13,1.29070897116322
"747",11,13,1.31820458070169
"748",12,13,1.50856016414468
"749",13,13,1.56596976552316
"750",14,13,1.5828144261213
"751",15,13,1.64710039113967
"752",16,13,1.75275088885784
"753",17,13,1.88098124718491
"754",18,13,1.62510919617652
"755",19,13,1.80250384202157
"756",20,13,1.89362856593595
"757",21,13,2.02729490284852
"758",22,13,2.01629043931632
"759",23,13,2.13077474291046
"760",24,13,2.14018737732243
"761",25,13,2.03684034547748
"762",26,13,2.34841976164493
"763",27,13,2.4366341394736
"764",28,13,2.24356141863689
"765",29,13,2.28422600506409
"766",30,13,2.46658064950297
"767",31,13,2.37541321451626
"768",32,13,2.78401304652404
"769",33,13,2.5595961914561
"770",34,13,2.50033163629493
"771",35,13,2.46339533630203
"772",36,13,2.69158375600275
"773",37,13,2.8229808900394
"774",38,13,2.77642624853747
"775",39,13,2.70623698019313
"776",40,13,2.91069333293495
"777",41,13,2.75840879774507
"778",42,13,2.89131431920888
"779",43,13,2.83949177985061
"780",44,13,3.22427585263255
"781",45,13,3.00197171386645
"782",46,13,3.21946029997507
"783",47,13,3.15971819874453
"784",48,13,3.20646332197577
"785",49,13,3.17931442311153
"786",50,13,3.08355583424633
"787",55,13,3.09188839859183
"788",60,13,3.60755419033185
"789",65,13,3.68200499782661
"790",70,13,3.68541877644711
